num_processes,avg_burst_time,std_burst_time,burst_time_cv,min_burst_time,max_burst_time,avg_arrival_gap,total_burst_time,best_algorithm,FCFS_avg_waiting_time,SJF_avg_waiting_time,Priority_avg_waiting_time,RoundRobin_avg_waiting_time
6,4.5,4.28,0.951,1,13,1.2,27,SJF,12.0,4.33,7.67,18.5
24,6.33,5.51,0.869,1,18,2.3,152,SJF,38.5,20.08,44.08,64.46
23,4.65,3.96,0.851,1,16,1.86,107,SJF,29.43,14.48,30.74,58.65
21,7.19,5.42,0.754,2,17,2.85,151,SJF,46.52,27.67,48.62,71.48
28,5.64,4.8,0.851,1,17,1.41,158,SJF,57.07,25.82,49.46,80.79
10,3.6,3.57,0.99,1,13,1.67,36,SJF,12.8,9.8,13.5,18.5
7,5.86,4.91,0.839,1,15,4.17,41,SJF,11.71,8.71,10.0,21.43
9,5.89,4.86,0.825,2,15,9.12,53,FCFS,2.78,2.78,2.89,4.56
29,4.66,3.63,0.779,2,16,0.96,135,SJF,57.69,35.66,56.76,105.45
16,4.75,4.04,0.851,1,13,1.67,76,SJF,26.31,16.25,30.31,46.19
18,4.61,3.29,0.714,1,13,1.12,83,SJF,31.56,16.56,26.89,59.17
30,4.67,3.31,0.71,1,13,2.14,140,SJF,42.07,26.37,34.2,85.33
13,4.23,3.19,0.755,2,13,1.42,55,SJF,11.23,9.38,14.92,30.69
9,5.67,4.0,0.706,2,14,1.38,51,SJF,17.56,12.89,19.56,28.33
16,5.25,4.36,0.83,2,15,1.8,84,SJF,30.12,14.88,33.38,43.88
22,6.5,4.94,0.761,2,17,3.67,143,SJF,33.18,18.32,28.45,57.68
21,6.57,5.34,0.813,1,18,1.7,138,SJF,58.76,30.95,38.0,84.1
28,4.96,4.06,0.818,1,14,1.63,139,SJF,43.64,26.07,36.32,87.14
25,4.36,3.66,0.84,1,14,2.67,109,SJF,25.96,16.28,34.0,57.16
18,5.78,4.76,0.824,2,16,3.65,104,Priority,14.44,8.5,9.28,29.39
26,6.04,4.87,0.807,1,17,1.52,157,SJF,61.81,30.65,61.08,91.08
7,7.57,6.45,0.852,1,16,1.33,53,SJF,18.71,12.86,18.43,25.29
5,8.0,5.52,0.69,3,14,5.25,40,SJF,5.2,4.8,7.4,13.4
14,5.57,4.27,0.767,1,15,1.77,78,SJF,30.64,13.43,30.07,43.64
29,5.72,4.88,0.852,1,16,1.21,166,SJF,72.0,34.66,82.86,96.45
13,6.0,5.03,0.839,1,16,5.5,78,SJF,13.38,7.62,10.77,24.38
9,5.89,4.81,0.816,2,14,1.0,53,SJF,27.0,12.78,18.11,31.56
19,6.26,4.56,0.727,1,15,3.11,119,SJF,26.68,16.63,22.16,50.58
15,2.87,1.13,0.393,1,5,1.86,43,FCFS,8.8,7.13,8.6,36.73
14,5.86,4.94,0.844,2,16,0.77,82,SJF,23.71,18.29,31.43,42.64
14,5.07,3.54,0.698,2,13,2.77,71,SJF,17.64,15.0,19.0,32.79
28,5.5,4.09,0.743,2,15,3.96,154,FCFS,16.64,10.11,19.5,41.96
14,5.93,4.16,0.702,3,14,1.69,83,SJF,31.36,17.0,36.07,47.0
17,5.24,4.63,0.884,1,15,1.12,89,SJF,27.47,16.06,30.29,40.06
24,4.75,4.26,0.896,1,15,1.74,114,SJF,26.5,14.88,28.71,56.79
29,4.97,3.95,0.796,1,14,1.36,144,SJF,46.17,26.83,46.52,86.1
26,4.15,3.31,0.796,1,13,2.72,108,FCFS,20.85,14.88,17.46,54.96
10,3.7,3.33,0.901,2,13,1.22,37,SJF,12.4,6.4,10.7,20.3
18,5.89,4.76,0.809,2,16,2.82,106,SJF,29.94,15.17,32.67,52.28
25,7.48,4.79,0.64,2,16,1.54,187,SJF,75.28,44.6,62.52,107.24
17,4.24,3.46,0.816,1,15,1.69,72,SJF,25.0,16.47,23.65,42.88
9,6.33,5.24,0.828,3,19,4.25,57,SJF,4.78,2.89,4.78,13.11
14,6.64,4.99,0.751,2,14,3.85,93,FCFS,18.36,12.07,23.07,36.14
29,5.38,4.52,0.839,1,17,2.64,156,SJF,38.48,21.52,41.55,71.14
7,6.0,4.58,0.764,2,13,0.67,42,SJF,15.71,15.0,21.14,25.0
12,5.17,5.2,1.007,1,16,2.0,62,SJF,22.75,8.58,21.0,29.5
10,6.3,4.74,0.752,2,14,3.78,63,SJF,21.7,10.9,20.8,36.9
8,4.62,4.69,1.014,2,16,1.14,37,SJF,18.0,16.88,18.88,22.62
26,4.96,4.38,0.882,1,17,2.28,129,SJF,43.58,18.19,32.15,70.35
30,4.83,3.85,0.797,1,13,3.86,145,SJF,24.2,12.83,21.2,60.8
8,4.25,3.73,0.878,2,13,2.71,34,SJF,4.25,1.5,4.25,8.75
15,5.87,4.78,0.815,2,15,2.36,88,SJF,22.27,11.6,13.0,35.53
5,4.2,1.1,0.261,3,6,1.5,21,FCFS,7.2,6.8,7.2,18.4
5,8.2,5.12,0.624,2,14,4.0,41,SJF,12.2,9.8,10.8,23.2
28,5.36,4.29,0.8,1,16,1.48,150,SJF,56.79,36.46,58.93,93.39
27,5.48,5.13,0.936,1,17,1.73,148,SJF,59.78,25.67,64.74,82.89
30,6.4,4.69,0.732,1,15,1.28,192,SJF,69.23,40.93,61.0,115.43
29,6.59,4.92,0.747,1,15,1.04,191,SJF,93.24,48.76,80.66,138.38
15,5.2,3.23,0.622,1,14,2.71,78,SJF,24.4,11.73,17.53,48.73
26,6.0,4.93,0.822,1,14,1.92,156,SJF,45.65,27.92,48.54,76.54
18,5.67,4.51,0.796,1,14,2.29,102,SJF,34.0,15.5,31.72,50.39
5,5.4,4.16,0.77,2,12,0.75,27,SJF,12.4,10.8,13.8,14.0
24,5.96,5.56,0.933,1,18,0.96,143,SJF,53.92,31.33,43.25,75.83
21,5.9,4.92,0.833,1,16,1.4,124,SJF,36.24,21.86,36.1,66.1
13,6.0,4.42,0.736,2,15,2.5,78,SJF,31.31,17.77,28.38,52.15
7,5.14,4.02,0.781,3,14,2.67,36,FCFS,7.43,7.43,9.57,11.86
22,5.86,5.22,0.891,2,18,5.76,129,SJF,13.0,8.36,10.05,23.14
24,6.12,5.14,0.838,1,17,1.48,147,SJF,50.88,23.71,60.0,75.12
15,6.07,5.02,0.828,1,16,4.29,91,SJF,24.33,12.07,25.33,40.53
15,6.67,5.22,0.783,1,17,2.86,100,SJF,30.87,15.6,24.2,52.07
24,6.67,5.1,0.764,1,17,2.26,160,SJF,53.0,26.88,49.83,81.54
14,5.43,4.03,0.743,2,15,5.54,76,SJF,5.07,3.71,5.64,12.93
12,6.0,4.13,0.689,2,13,1.82,72,Priority,21.83,16.67,20.08,42.17
10,7.4,5.06,0.684,2,17,1.33,74,SJF,34.0,18.8,31.3,51.0
6,10.17,4.58,0.45,3,17,0.8,61,SJF,23.67,19.0,22.5,45.5
9,2.89,0.6,0.208,2,4,3.5,26,FCFS,0.89,0.89,0.89,13.56
25,4.6,3.28,0.713,1,14,3.46,115,SJF,14.4,10.28,12.56,55.76
13,5.54,5.27,0.951,1,17,2.08,72,SJF,22.85,9.38,17.77,31.54
5,7.6,5.98,0.787,2,15,1.5,38,FCFS,6.6,6.8,10.6,16.0
21,5.43,3.97,0.731,2,14,1.95,114,SJF,33.86,18.05,32.43,58.1
14,7.0,5.45,0.778,2,16,1.69,98,SJF,29.71,16.93,37.5,44.79
10,5.1,4.58,0.898,2,15,2.44,51,SJF,11.7,6.4,12.3,18.4
22,7.23,4.48,0.62,1,14,3.05,159,SJF,61.18,33.59,41.45,99.27
27,6.44,4.9,0.761,1,17,3.42,174,SJF,38.11,21.07,42.56,78.33
21,4.0,3.51,0.877,1,15,2.75,84,SJF,13.24,5.0,7.81,33.1
24,4.21,3.23,0.768,1,13,2.17,101,SJF,34.25,25.71,33.5,67.08
